date,daily_pnl,daily_volume_usd,sentiment_value
2025-04-02,202212.740938,3867930.6,44.0
2025-04-03,-2365.961276,8670233.15,25.0
2025-04-04,-25515.678949999998,3835545.73,28.0
2025-04-05,35907.33771,1267564.22,30.0
2025-04-06,47053.449272,3551252.06,34.0
2025-04-07,34527.370305,14460253.14,23.0
2025-04-08,34899.394798,8869391.4,24.0
2025-04-09,43120.444797,28556806.47,18.0
2025-04-10,158261.822261,28741953.29,39.0
2025-04-11,126406.479081,11319327.07,25.0
2025-04-12,410419.694533,55914617.49,43.0
2025-04-13,48696.021521,14171154.79,45.0
2025-04-14,45680.443063,13079972.98,31.0
2025-04-15,72357.706282,20752168.24,38.0
2025-04-16,58631.730257,36502715.9,29.0
2025-04-17,5427.919886,2604551.51,30.0
2025-04-18,4880.4047439999995,24610650.46,33.0
2025-04-19,71950.577495,32706462.71,32.0
2025-04-20,25060.341936,12126094.05,37.0
2025-04-21,34369.267906999994,42104054.84,39.0
2025-04-22,58652.763578,33753625.24,47.0
2025-04-23,-419020.225731,30682443.79,72.0
2025-04-24,50704.395965,35088918.64,63.0
2025-04-25,20218.859206,27749455.78,60.0
2025-04-26,-4125.753942,11948127.77,65.0
2025-04-27,2702.067468,487537.69,61.0
2025-04-28,36906.813759,26124921.49,54.0
2025-04-29,125749.613427,34089511.66,60.0
2025-04-30,14003.797269,12693878.85,56.0
2025-05-01,54536.829297000004,10720240.52,53.0
